,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary,age_group,has_child,child_jitter
68,49,Self-emp-inc,191681,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50,United-States,>50K,47-51,Без детей,0.3447585641026357
70,19,Private,101509,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0.0,0.0,32,United-States,<=50K,17-21,С детьми,0.7734959949146605
71,31,Private,309974,Bachelors,13,Separated,Sales,Own-child,Black,Female,0.0,0.0,40,United-States,<=50K,27-31,С детьми,0.851249816405548
72,29,Self-emp-not-inc,162298,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,70,United-States,>50K,27-31,Без детей,0.15123820049246067
73,23,Private,211678,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40,United-States,<=50K,22-26,Без детей,0.17703588698059486
74,79,Private,124744,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0.0,0.0,20,United-States,<=50K,67+,Без детей,0.14085454933852914
75,27,Private,213921,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0.0,0.0,40,Mexico,<=50K,27-31,С детьми,0.7080792793831835
76,40,Private,32214,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40,United-States,<=50K,37-41,Без детей,0.2232825495254757
78,18,Private,309634,11th,7,Never-married,Other-service,Own-child,White,Female,0.0,0.0,22,United-States,<=50K,17-21,С детьми,0.695123767625735
79,31,Local-gov,125927,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40,United-States,<=50K,27-31,Без детей,0.328897002196463
80,18,Private,446839,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,30,United-States,<=50K,17-21,Без детей,0.21562079840646142
81,52,Private,276515,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40,Cuba,<=50K,52-56,Без детей,0.1974242823249714
82,46,Private,51618,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0.0,0.0,40,United-States,<=50K,42-46,Без детей,0.26024705995797964
83,59,Private,159937,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,48,United-States,<=50K,57-61,Без детей,0.16382181399394302
84,44,Private,343591,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,14344.0,0.0,40,United-States,>50K,42-46,Без детей,0.3225272753809695
85,53,Private,346253,HS-grad,9,Divorced,Sales,Own-child,White,Female,0.0,0.0,35,United-States,<=50K,52-56,С детьми,0.647892154483145
86,49,Local-gov,268234,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40,United-States,>50K,47-51,Без детей,0.36685286478412416
87,33,Private,202051,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50,United-States,<=50K,32-36,Без детей,0.31533874463119776
88,30,Private,54334,9th,5,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,40,United-States,<=50K,27-31,Без детей,0.17769176356820138
89,43,Federal-gov,410867,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,50,United-States,>50K,42-46,Без детей,0.13132530810966458
90,57,Private,249977,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,<=50K,57-61,Без детей,0.3257107428291602
91,37,Private,286730,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0.0,0.0,40,United-States,<=50K,37-41,Без детей,0.2996457625234281
92,28,Private,212563,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,0.0,0.0,25,United-States,<=50K,27-31,Без детей,0.3049617203298369
94,34,Local-gov,226296,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40,United-States,>50K,32-36,Без детей,0.315104883204627
95,29,Local-gov,115585,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,50,United-States,<=50K,27-31,Без детей,0.1477707164161817
96,48,Self-emp-not-inc,191277,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1902.0,60,United-States,>50K,47-51,Без детей,0.2160317748506254
97,37,Private,202683,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,48,United-States,>50K,37-41,Без детей,0.15780857428603112
98,48,Private,171095,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40,England,<=50K,47-51,Без детей,0.3371448222101424
99,32,Federal-gov,249409,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0.0,0.0,40,United-States,<=50K,32-36,С детьми,0.779591550438614
100,76,Private,124191,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40,United-States,>50K,67+,Без детей,0.2094155259646358
101,44,Private,198282,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024.0,0.0,60,United-States,>50K,42-46,Без детей,0.1452540040686457
102,47,Self-emp-not-inc,149116,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,50,United-States,<=50K,47-51,Без детей,0.20463575721175892
103,20,Private,188300,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0.0,0.0,40,United-States,<=50K,17-21,С детьми,0.7080439972864193
104,29,Private,103432,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40,United-States,<=50K,27-31,Без детей,0.30510548280113536
105,32,Self-emp-inc,317660,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7688.0,0.0,40,United-States,>50K,32-36,Без детей,0.28301379312525116
107,30,Private,194901,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,40,United-States,<=50K,27-31,С детьми,0.8429310582183184
108,31,Local-gov,189265,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40,United-States,<=50K,27-31,Без детей,0.24333158203886784
109,42,Private,124692,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40,United-States,<=50K,42-46,Без детей,0.1587026190251924
110,24,Private,432376,Bachelors,13,Never-married,Sales,Other-relative,White,Male,0.0,0.0,40,United-States,<=50K,22-26,Без детей,0.3011787489335188
111,38,Private,65324,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,>50K,37-41,Без детей,0.3125884116680554
112,56,Self-emp-not-inc,335605,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0.0,1887.0,50,Canada,>50K,52-56,Без детей,0.2647065274166791
113,28,Private,377869,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,4064.0,0.0,25,United-States,<=50K,27-31,Без детей,0.3150321231890946
114,36,Private,102864,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0.0,0.0,40,United-States,<=50K,32-36,С детьми,0.7485109431274538
115,53,Private,95647,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,50,United-States,<=50K,52-56,Без детей,0.25545587905167855
116,56,Self-emp-inc,303090,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50,United-States,<=50K,52-56,Без детей,0.23260984440605192
117,49,Local-gov,197371,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,40,United-States,>50K,47-51,Без детей,0.13610059041858286
118,55,Private,247552,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,56,United-States,<=50K,52-56,Без детей,0.15589394247839305
119,22,Private,102632,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,41,United-States,<=50K,22-26,Без детей,0.13754300456481622
120,21,Private,199915,Some-college,10,Never-married,Other-service,Own-child,White,Female,0.0,0.0,40,United-States,<=50K,17-21,С детьми,0.7827384987033073
121,40,Private,118853,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,60,United-States,<=50K,37-41,Без детей,0.2054454354583184
122,30,Private,77143,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,0.0,0.0,40,Germany,<=50K,27-31,С детьми,0.7520569658795286
123,29,State-gov,267989,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50,United-States,>50K,27-31,Без детей,0.3478159537422623
124,19,Private,301606,Some-college,10,Never-married,Other-service,Own-child,Black,Male,0.0,0.0,35,United-States,<=50K,17-21,С детьми,0.68983013499573
125,47,Private,287828,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,40,United-States,>50K,47-51,Без детей,0.22849190152855114
126,20,Private,111697,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0.0,1719.0,28,United-States,<=50K,17-21,С детьми,0.8113322732503316
127,31,Private,114937,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40,United-States,>50K,27-31,Без детей,0.1849115597179894
129,39,Private,365739,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,40,United-States,<=50K,37-41,Без детей,0.14847517835891033
130,28,Private,69621,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,60,United-States,<=50K,27-31,Без детей,0.19954034869930432
131,24,Private,43323,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0.0,1762.0,40,United-States,<=50K,22-26,Без детей,0.16869310894096107
132,38,Self-emp-not-inc,120985,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4386.0,0.0,35,United-States,<=50K,37-41,Без детей,0.35312743656221757
133,37,Private,254202,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50,United-States,<=50K,37-41,Без детей,0.3239488910954601
134,46,Private,146195,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,Female,0.0,0.0,36,United-States,<=50K,42-46,Без детей,0.28201690156250164
135,38,Federal-gov,125933,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,Iran,>50K,37-41,Без детей,0.3391505416450522
136,43,Self-emp-not-inc,56920,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,60,United-States,<=50K,42-46,Без детей,0.3228812984557875
137,27,Private,163127,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,35,United-States,<=50K,27-31,Без детей,0.17477681413264862
138,20,Private,34310,Some-college,10,Never-married,Sales,Own-child,White,Male,0.0,0.0,20,United-States,<=50K,17-21,С детьми,0.8442141596375947
139,49,Private,81973,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0.0,0.0,40,United-States,>50K,47-51,Без детей,0.25944213805975613
140,61,Self-emp-inc,66614,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,<=50K,57-61,Без детей,0.32378563723937503
141,27,Private,232782,Some-college,10,Never-married,Sales,Own-child,White,Female,0.0,0.0,40,United-States,<=50K,27-31,С детьми,0.8450619119816384
142,19,Private,316868,Some-college,10,Never-married,Other-service,Own-child,White,Male,0.0,0.0,30,Mexico,<=50K,17-21,С детьми,0.7063208339932473
143,45,Private,196584,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,1564.0,40,United-States,>50K,42-46,Без детей,0.15641246188664243
144,70,Private,105376,Some-college,10,Never-married,Tech-support,Other-relative,White,Male,0.0,0.0,40,United-States,<=50K,67+,Без детей,0.184704439010066
145,31,Private,185814,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female,0.0,0.0,30,United-States,<=50K,27-31,Без детей,0.23250586927030154
146,22,Private,175374,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,24,United-States,<=50K,22-26,Без детей,0.32632354382139833
147,36,Private,108293,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0.0,0.0,24,United-States,<=50K,32-36,Без детей,0.33657533998152245
148,64,Private,181232,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,2179.0,40,United-States,<=50K,62-66,Без детей,0.13166851132748578
150,47,Local-gov,186009,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,38,Mexico,<=50K,47-51,Без детей,0.25257935261861575
151,34,Private,198183,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40,United-States,<=50K,32-36,Без детей,0.23017864075570696
152,33,Private,163003,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0.0,0.0,40,Philippines,<=50K,32-36,Без детей,0.18330587451297525
153,21,Private,296158,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,35,United-States,<=50K,17-21,С детьми,0.6587676881600839
155,48,Private,187715,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,46,United-States,<=50K,47-51,Без детей,0.21102764113687073
156,23,Private,214542,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40,United-States,<=50K,22-26,Без детей,0.3562983289390046
157,71,Self-emp-not-inc,494223,Some-college,10,Separated,Sales,Unmarried,Black,Male,0.0,1816.0,2,United-States,<=50K,67+,Без детей,0.20756870368498126
158,29,Private,191535,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,60,United-States,<=50K,27-31,Без детей,0.25450974921840785
159,42,Private,228456,Bachelors,13,Separated,Other-service,Other-relative,Black,Male,0.0,0.0,50,United-States,<=50K,42-46,Без детей,0.29872455013484267
161,25,Private,252752,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0.0,0.0,40,United-States,<=50K,22-26,Без детей,0.21727110457103055
162,44,Self-emp-inc,78374,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0.0,0.0,40,United-States,<=50K,42-46,Без детей,0.36322769985303055
163,28,Private,88419,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0.0,0.0,40,England,<=50K,27-31,Без детей,0.36098735078610666
164,45,Self-emp-not-inc,201080,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40,United-States,>50K,42-46,Без детей,0.1904277509980874
165,36,Private,207157,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,40,Mexico,<=50K,32-36,Без детей,0.2493396414141725
166,39,Federal-gov,235485,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,42,United-States,<=50K,37-41,Без детей,0.20221079435602474
167,46,State-gov,102628,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,0.0,0.0,40,United-States,<=50K,42-46,Без детей,0.1983617186505922
168,18,Private,25828,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,16,United-States,<=50K,17-21,С детьми,0.6388528673650878
169,66,Local-gov,54826,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,0.0,0.0,20,United-States,<=50K,62-66,Без детей,0.27629544015517526
170,27,Private,124953,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0.0,1980.0,40,United-States,<=50K,27-31,Без детей,0.25064296557492677
171,28,State-gov,175325,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40,United-States,<=50K,27-31,Без детей,0.14235490029999745
172,51,Private,96062,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0.0,1977.0,40,United-States,>50K,47-51,Без детей,0.19687515141678674
173,27,Private,428030,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,50,United-States,<=50K,27-31,Без детей,0.34798381263199685
174,28,State-gov,149624,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,>50K,27-31,Без детей,0.18749485376007338
175,27,Private,253814,HS-grad,9,Married-spouse-absent,Sales,Unmarried,White,Female,0.0,0.0,25,United-States,<=50K,27-31,Без детей,0.16477476930189355
176,21,Private,312956,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0.0,0.0,40,United-States,<=50K,17-21,С детьми,0.7474686624666151
177,34,Private,483777,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0.0,0.0,40,United-States,<=50K,32-36,Без детей,0.36655610898654417
178,18,Private,183930,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0.0,0.0,12,United-States,<=50K,17-21,С детьми,0.6880932651627601
179,33,Private,37274,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,65,United-States,<=50K,32-36,Без детей,0.29131253137741087
180,44,Local-gov,181344,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.0,0.0,38,United-States,>50K,42-46,Без детей,0.3127887076788922
181,43,Private,114580,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40,United-States,<=50K,42-46,Без детей,0.18703301055817592
182,30,Private,633742,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,0.0,0.0,45,United-States,<=50K,27-31,Без детей,0.3047719236668463
183,40,Private,286370,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40,Mexico,>50K,37-41,Без детей,0.21826795185262077
184,37,Federal-gov,29054,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,42,United-States,>50K,37-41,Без детей,0.2817533993424591
185,34,Private,304030,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0.0,0.0,40,United-States,<=50K,32-36,Без детей,0.28204713058261477
186,41,Self-emp-not-inc,143129,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40,United-States,<=50K,37-41,Без детей,0.258585924177942
188,31,Private,99928,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,50,United-States,<=50K,27-31,Без детей,0.151669544813058
189,58,State-gov,109567,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,1,United-States,>50K,57-61,Без детей,0.3304725989414171
190,38,Private,155222,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0.0,0.0,28,United-States,<=50K,37-41,Без детей,0.2069872155932166
191,24,Private,159567,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40,United-States,<=50K,22-26,Без детей,0.174764442495965
192,41,Local-gov,523910,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,40,United-States,<=50K,37-41,Без детей,0.13978603397314335
193,47,Private,120939,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,45,United-States,<=50K,47-51,Без детей,0.271814306365178
