Возраст;Работа;Семейный статус;Образование;Кредитный дефолт;Ипотека;Займ;Контакт;Месяц;День недели;Длительность;Кампания;День;Предыдущий контакт;Доходность;Колебание уровня безработицы;Индекс потребительских цен;Индекс потребительской уверенности;Европейская межбанковская ставка;Количество сотрудников в компании;y
30;Менеджер;Не женат / не замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;39;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
30;Техник;Не женат / не замужем;Высшая школа;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;134;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
30;Менеджер;Женат / замужем;Университетская степень;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;160;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
30;Неизвестно;Женат / замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;171;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
30;Неизвестно;Женат / замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;183;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
30;Неизвестно;Женат / замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;190;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
30;Менеджер;Женат / замужем;Университетская степень;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;243;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
30;Менеджер;Женат / замужем;Университетская степень;Нет;Нет;Да;Сотовый телефон;Август;Понедельник;753;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
30;Менеджер;Не женат / не замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;857;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
31;Техник;Женат / замужем;Профессиональный курс;Неизвестно;Нет;Нет;Сотовый телефон;Август;Понедельник;107;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
31;Менеджер;Не женат / не замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;163;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
31;Менеджер;Женат / замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;244;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
32;Техник;Женат / замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;130;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
32;Техник;Женат / замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;151;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
32;Менеджер;Не женат / не замужем;Университетская степень;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;200;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
33;Техник;Разведен(-а);Профессиональный курс;Нет;Нет;Да;Сотовый телефон;Август;Понедельник;68;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
33;Менеджер;Разведен(-а);Университетская степень;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;73;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
33;Менеджер;Разведен(-а);Университетская степень;Нет;Нет;Да;Сотовый телефон;Август;Понедельник;119;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
33;Менеджер;Не женат / не замужем;Университетская степень;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;157;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
33;Техник;Разведен(-а);Профессиональный курс;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;170;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
33;Техник;Разведен(-а);Профессиональный курс;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;413;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
33;Техник;Разведен(-а);Профессиональный курс;Нет;Да;Да;Сотовый телефон;Август;Понедельник;679;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
33;Техник;Разведен(-а);Профессиональный курс;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;686;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
33;Студент;Разведен(-а);Профессиональный курс;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;1110;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Да
34;Техник;Не женат / не замужем;Профессиональный курс;Нет;Да;Да;Городской телефон;Август;Понедельник;64;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
34;Техник;Не женат / не замужем;Профессиональный курс;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;138;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
34;Техник;Не женат / не замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;156;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
34;Техник;Не женат / не замужем;Университетская степень;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;160;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
34;Менеджер;Не женат / не замужем;Университетская степень;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;177;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
34;Менеджер;Не женат / не замужем;Университетская степень;Нет;Нет;Да;Сотовый телефон;Август;Понедельник;230;3;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
34;Менеджер;Не женат / не замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;298;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
34;Менеджер;Не женат / не замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;432;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
35;Техник;Не женат / не замужем;Профессиональный курс;Нет;Нет;Да;Сотовый телефон;Август;Понедельник;50;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
35;Техник;Разведен(-а);Университетская степень;Нет;Да;Да;Сотовый телефон;Август;Понедельник;142;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
35;Техник;Не женат / не замужем;Профессиональный курс;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;148;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
35;Менеджер;Не женат / не замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;151;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
35;Менеджер;Не женат / не замужем;Университетская степень;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;167;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
35;Техник;Не женат / не замужем;Профессиональный курс;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;184;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
35;Менеджер;Женат / замужем;Университетская степень;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;337;4;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
35;Менеджер;Женат / замужем;Университетская степень;Неизвестно;Да;Нет;Сотовый телефон;Август;Понедельник;372;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
36;Менеджер;Женат / замужем;Профессиональный курс;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;58;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
36;Менеджер;Женат / замужем;Университетская степень;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;147;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
36;Техник;Разведен(-а);Профессиональный курс;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;282;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
37;Техник;Не женат / не замужем;Профессиональный курс;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;44;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
37;Студент;Женат / замужем;Профессиональный курс;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;70;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
37;Менеджер;Женат / замужем;Университетская степень;Неизвестно;Нет;Нет;Сотовый телефон;Август;Понедельник;110;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
37;Менеджер;Женат / замужем;Университетская степень;Неизвестно;Нет;Нет;Сотовый телефон;Август;Понедельник;149;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
37;Менеджер;Женат / замужем;Университетская степень;Неизвестно;Нет;Нет;Сотовый телефон;Август;Понедельник;161;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
38;Голубой воротничок;Не женат / не замужем;Высшая школа;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;104;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
38;Техник;Женат / замужем;Профессиональный курс;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;606;3;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
39;Техник;Не женат / не замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;112;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
39;Менеджер;Женат / замужем;Университетская степень;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;154;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
39;Техник;Не женат / не замужем;Профессиональный курс;Неизвестно;Нет;Нет;Сотовый телефон;Август;Понедельник;198;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
39;Домохозяйка;Женат / замужем;Базовое (4 класса);Нет;Нет;Да;Сотовый телефон;Август;Понедельник;357;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
39;Домохозяйка;Женат / замужем;Базовое (4 класса);Нет;Да;Нет;Сотовый телефон;Август;Понедельник;417;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
40;Преддприниматель;Женат / замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;145;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
40;Техник;Женат / замужем;Профессиональный курс;Неизвестно;Да;Нет;Сотовый телефон;Август;Понедельник;198;3;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
41;Техник;Женат / замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;53;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
41;Техник;Женат / замужем;Университетская степень;Нет;Да;Да;Сотовый телефон;Август;Понедельник;58;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
41;Техник;Женат / замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;71;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
41;Техник;Женат / замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;89;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
41;Техник;Женат / замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;101;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
41;Техник;Женат / замужем;Профессиональный курс;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;157;3;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
41;Неизвестно;Женат / замужем;Неизвестно;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;166;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
41;Техник;Разведен(-а);Профессиональный курс;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;182;3;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
41;Техник;Женат / замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;227;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
41;Неизвестно;Женат / замужем;Неизвестно;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;230;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
41;Неизвестно;Женат / замужем;Неизвестно;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;258;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
41;Техник;Женат / замужем;Университетская степень;Нет;Неизвестно;Неизвестно;Сотовый телефон;Август;Понедельник;531;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
41;Неизвестно;Женат / замужем;Неизвестно;Нет;Да;Да;Сотовый телефон;Август;Понедельник;653;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
42;Техник;Разведен(-а);Профессиональный курс;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;151;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
42;Техник;Разведен(-а);Профессиональный курс;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;408;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
43;Менеджер;Женат / замужем;Университетская степень;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;116;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
43;Менеджер;Женат / замужем;Университетская степень;Нет;Да;Да;Сотовый телефон;Август;Понедельник;149;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
44;Обслуживающий персонал;Женат / замужем;Профессиональный курс;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;90;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
44;Обслуживающий персонал;Женат / замужем;Профессиональный курс;Нет;Нет;Да;Сотовый телефон;Август;Понедельник;93;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
44;Менеджер;Разведен(-а);Высшая школа;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;99;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
44;Голубой воротничок;Женат / замужем;Базовое (9 классов);Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;135;3;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
44;Обслуживающий персонал;Женат / замужем;Профессиональный курс;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;186;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
44;Менеджер;Не женат / не замужем;Университетская степень;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;208;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
44;Обслуживающий персонал;Женат / замужем;Профессиональный курс;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;341;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
44;Голубой воротничок;Женат / замужем;Базовое (9 классов);Нет;Да;Нет;Сотовый телефон;Август;Понедельник;378;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
45;Менеджер;Разведен(-а);Высшая школа;Нет;Нет;Да;Сотовый телефон;Август;Понедельник;78;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
45;Техник;Женат / замужем;Высшая школа;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;84;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
45;Голубой воротничок;Женат / замужем;Базовое (6 классов);Неизвестно;Нет;Нет;Сотовый телефон;Август;Понедельник;160;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
45;Самозанятый;Женат / замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;211;3;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
45;Менеджер;Разведен(-а);Высшая школа;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;272;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
45;Техник;Женат / замужем;Университетская степень;Неизвестно;Да;Нет;Сотовый телефон;Август;Понедельник;372;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
45;Обслуживающий персонал;Женат / замужем;Высшая школа;Неизвестно;Да;Нет;Сотовый телефон;Август;Понедельник;413;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
45;Техник;Разведен(-а);Высшая школа;Нет;Да;Да;Сотовый телефон;Август;Понедельник;482;3;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
46;Голубой воротничок;Женат / замужем;Базовое (9 классов);Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;68;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
46;Менеджер;Женат / замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;96;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
46;Домохозяйка;Женат / замужем;Высшая школа;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;121;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
46;Голубой воротничок;Женат / замужем;Базовое (9 классов);Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;122;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
46;Домохозяйка;Женат / замужем;Высшая школа;Нет;Да;Нет;Городской телефон;Август;Понедельник;130;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
46;Техник;Женат / замужем;Университетская степень;Неизвестно;Нет;Нет;Сотовый телефон;Август;Понедельник;139;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
46;Голубой воротничок;Женат / замужем;Высшая школа;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;422;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
46;Голубой воротничок;Женат / замужем;Базовое (9 классов);Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;488;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
46;Техник;Не женат / не замужем;Профессиональный курс;Неизвестно;Нет;Нет;Сотовый телефон;Август;Понедельник;824;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
47;Обслуживающий персонал;Женат / замужем;Высшая школа;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;140;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
47;Обслуживающий персонал;Женат / замужем;Высшая школа;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;157;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
47;Преддприниматель;Женат / замужем;Университетская степень;Нет;Да;Да;Сотовый телефон;Август;Понедельник;216;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
47;Техник;Женат / замужем;Профессиональный курс;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;428;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
47;Техник;Женат / замужем;Профессиональный курс;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;506;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
48;Голубой воротничок;Женат / замужем;Базовое (4 класса);Неизвестно;Да;Нет;Сотовый телефон;Август;Понедельник;69;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
48;Домохозяйка;Женат / замужем;Базовое (4 класса);Неизвестно;Нет;Да;Сотовый телефон;Август;Понедельник;148;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
48;Голубой воротничок;Женат / замужем;Университетская степень;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;164;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
48;Голубой воротничок;Женат / замужем;Базовое (9 классов);Нет;Нет;Да;Сотовый телефон;Август;Понедельник;221;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
48;Домохозяйка;Женат / замужем;Базовое (4 класса);Неизвестно;Да;Нет;Сотовый телефон;Август;Понедельник;251;3;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
48;Неизвестно;Женат / замужем;Базовое (9 классов);Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;307;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
48;Домохозяйка;Женат / замужем;Базовое (4 класса);Неизвестно;Да;Нет;Сотовый телефон;Август;Понедельник;441;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
48;Голубой воротничок;Женат / замужем;Базовое (9 классов);Нет;Да;Нет;Сотовый телефон;Август;Понедельник;597;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
49;Техник;Женат / замужем;Профессиональный курс;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;96;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
49;Обслуживающий персонал;Женат / замужем;Высшая школа;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;117;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
49;Менеджер;Женат / замужем;Высшая школа;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;144;3;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
49;Техник;Женат / замужем;Профессиональный курс;Неизвестно;Да;Да;Сотовый телефон;Август;Понедельник;148;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
49;Менеджер;Разведен(-а);Профессиональный курс;Нет;Да;Да;Сотовый телефон;Август;Понедельник;230;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
49;Голубой воротничок;Женат / замужем;Базовое (4 класса);Неизвестно;Да;Нет;Сотовый телефон;Август;Понедельник;315;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
50;Менеджер;Женат / замужем;Высшая школа;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;20;3;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
50;Голубой воротничок;Женат / замужем;Базовое (9 классов);Неизвестно;Да;Нет;Сотовый телефон;Август;Понедельник;36;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
50;Менеджер;Женат / замужем;Высшая школа;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;67;6;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
50;Неизвестно;Женат / замужем;Неизвестно;Неизвестно;Да;Нет;Сотовый телефон;Август;Понедельник;90;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
50;Голубой воротничок;Женат / замужем;Базовое (4 класса);Неизвестно;Да;Нет;Сотовый телефон;Август;Понедельник;91;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
50;Техник;Разведен(-а);Университетская степень;Неизвестно;Нет;Нет;Сотовый телефон;Август;Понедельник;114;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
50;Самозанятый;Женат / замужем;Базовое (4 класса);Неизвестно;Нет;Нет;Сотовый телефон;Август;Понедельник;222;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
50;Самозанятый;Женат / замужем;Базовое (4 класса);Неизвестно;Да;Нет;Сотовый телефон;Август;Понедельник;311;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
50;Голубой воротничок;Женат / замужем;Базовое (9 классов);Нет;Да;Нет;Сотовый телефон;Август;Понедельник;333;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
51;Техник;Женат / замужем;Профессиональный курс;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;72;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
52;Голубой воротничок;Женат / замужем;Базовое (9 классов);Нет;Да;Нет;Сотовый телефон;Август;Понедельник;551;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
52;Менеджер;Женат / замужем;Университетская степень;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;1488;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Да
53;Обслуживающий персонал;Женат / замужем;Базовое (9 классов);Неизвестно;Нет;Нет;Сотовый телефон;Август;Понедельник;79;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
53;Голубой воротничок;Женат / замужем;Неизвестно;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;115;1;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
53;Обслуживающий персонал;Женат / замужем;Базовое (9 классов);Неизвестно;Да;Нет;Сотовый телефон;Август;Понедельник;136;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
